kra_id,name,company_id,created_at,assigne_id,plan_id,area_id
1,Increase Brand Awareness,2288,04/04/2024 14:08,120947,15,16
2,Improve Customer Retention,2288,04/04/2024 14:10,120947,15,16
3,ughh,2288,04/04/2024 14:29,124462,17,17
4,Marketing external training,2288,04/04/2024 16:58,120947,18,15
5,Test creating new kr using new KPI button,2288,17/04/2024 11:40,120947,15,16
6,Increase referral customers,2288,22/04/2024 08:41,120947,15,16
7,Complaint Handling,2288,13/05/2024 08:19,120947,17,16
8,Cost per Complaint:,2288,13/05/2024 09:56,120947,17,16
9,Monitoring customer satisfaction,2288,22/05/2024 08:06,132841,15,16
10,Test creating KRA recurs,2288,10/06/2024 07:54,132841,15,16
11,Test new KRA should be first on the list,2288,12/06/2024 16:12,132841,24,35
12,Collect revenue,7461,05/07/2024 14:46,124629,26,45
13,Retain 100% of Customers by EOQ,4592,10/07/2024 10:39,124271,28,51
14,Increase market visilibility,6007,12/07/2024 13:45,108824,30,53
15,Increase number of active subscribers,7543,15/07/2024 20:24,128078,32,58
16,Increase market coverage,7543,15/07/2024 20:37,127780,32,55
17,Increase number of active subscribers,7543,15/07/2024 20:46,127861,32,58
18,To increase number of active customers,7543,15/07/2024 20:59,128077,32,58
19,To increase number of active subscribers,7543,15/07/2024 21:51,128078,32,58
20,To increase number of active customers,7543,15/07/2024 22:08,127861,32,58
21,100% retention,2395,18/07/2024 09:13,78322,34,63
22,Measure CSAT,2395,18/07/2024 09:19,138386,34,62
23,Increase Revenues by 50%,5220,18/07/2024 09:54,113820,27,46
24,Ramp up invoice collection efforts,7461,18/07/2024 15:38,124633,26,45
25,10% per quarter,7543,21/07/2024 09:47,127780,44,67
26,Reducing operation cost,7543,21/07/2024 17:21,127780,43,67
27,Employee development plan,7543,21/07/2024 18:00,128078,53,64
28,Technology training index,7543,21/07/2024 18:01,128078,53,64
29,Employees information efficiency index,7543,21/07/2024 18:02,128078,53,64
30,New products as percentage of sales,7543,21/07/2024 18:27,128077,50,64
31,Increase revenue generation,7543,21/07/2024 18:37,127780,44,67
32,Increase net revenue generation,7543,21/07/2024 18:38,127780,44,67
33,Simplify billing operations,7543,21/07/2024 18:45,127780,44,66
34,Efficient equipment utilizations,7543,21/07/2024 20:28,127780,44,65
35,Register entities in 5 jurisdictions by EOQ,5220,25/07/2024 14:03,134118,54,48
36,Increase revenue by 15M,4708,25/07/2024 16:40,88016,56,69
37,Increase by 25000,4708,25/07/2024 16:44,88016,56,69
38,Revenue by 15000,4708,25/07/2024 16:54,88016,56,69
39,Increase Market visibility,7461,30/07/2024 12:25,124633,59,75
40,Test 1,7461,30/07/2024 12:36,124633,59,75
41,Increased sales revenue,5971,31/07/2024 11:36,137262,64,80
42,Increased efficiency and effectiveness of the team,5971,31/07/2024 12:57,116052,71,81
